epoch,phase,train_loss,train_accuracy,val_loss,val_accuracy
1,warmup,1.16471,0.34833,1.13163,0.36333
2,warmup,1.09516,0.39583,1.10794,0.38000
3,warmup,1.06709,0.42750,1.10294,0.37000
4,warmup,1.07856,0.41667,1.11595,0.38000
5,warmup,1.05396,0.44000,1.11202,0.37000
6,finetune,1.09456,0.42750,1.05377,0.47000
7,finetune,1.02853,0.46917,1.15685,0.43333
8,finetune,0.95977,0.53000,1.14061,0.43000
9,finetune,0.92824,0.55500,1.09520,0.47333
10,finetune,0.91417,0.57667,1.10098,0.43000
11,finetune,0.81942,0.62500,1.12795,0.44667
12,finetune,0.77836,0.65417,1.22970,0.42667
13,finetune,0.70093,0.69333,1.15904,0.50000
14,finetune,0.64624,0.72583,1.19539,0.49000
15,finetune,0.59169,0.75083,1.21728,0.45667
16,finetune,0.59617,0.75583,1.23479,0.50000
17,finetune,0.54525,0.76750,1.22308,0.48333
